,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
f1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1
f2,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1
f3,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1
f4,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0
f5,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1
f6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1
f7,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0
f8,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0
f9,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0
f10,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0
f11,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1
f12,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
f13,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1
f14,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
f15,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0
f16,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
f17,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1
f18,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1
f19,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1
f20,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1
